,epoch,val_mae,train_mae
0,0,0.8410786276704088,0.9785418853545043
1,1,0.8322367916525896,0.7191794905225972
2,2,0.8315036829252495,0.7144566671588962
3,3,0.8290991405673618,0.7137518044034469
4,4,0.8299467012568802,0.7133432488401484
5,5,0.8266559661753496,0.712705494073532
6,6,0.8297239488285141,0.7118909338245484
7,7,0.8314294507121143,0.7098583272163603
8,8,0.8401631353936478,0.7069738579043655
9,9,0.8315811669355372,0.7037874723887997
10,10,0.8291535631394713,0.7005928226221086
11,11,0.8304806405640234,0.6979099122001755
12,12,0.8376930079905559,0.6954157175898343
13,13,0.8340559479602008,0.6932249508614943
14,14,0.826803455894857,0.6912029396939551
15,15,0.8412059458709111,0.6890240002614567
16,16,0.8371014870615545,0.6871109005237368
17,17,0.8244887091151416,0.6849499022514066
18,18,0.8341429260862099,0.6825980799809657
19,19,0.8310195748626819,0.6797209210881916
